Name,URL,Query,Rating,Reviews,Phone,Address,Website
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880fd3514c69d8c1:0x182b5c1313481b77!8m2!3d41.8976601!4d-87.62351!16s%2Fg%2F1jgm0n785!19sChIJwdhpTFHTD4gRdxtIExNcKxg?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,3.8,28,-,-,-
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880fd35cee5fb56b:0xe49cd7959a154a67!8m2!3d41.9117221!4d-87.626804!16s%2Fg%2F1ygbbbnf7!19sChIJa7Vf7lzTD4gRZ0oVmpXXnOQ?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,3.7,29,-,-,-
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880e2b630c18efd7:0x7940555d452d345c!8m2!3d41.8672261!4d-87.6153554!16s%2Fg%2F11by_nkjn1!19sChIJ1-8YDGMrDogRXDQtRV1VQHk?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.8,11,-,-,-
The Bike Lane,https://www.google.com/maps/place/The+Bike+Lane/data=!4m7!3m6!1s0x880fd29ecca30905:0x1484605b6c949c42!8m2!3d41.9198669!4d-87.6926087!16s%2Fg%2F1tgf3tf3!19sChIJBQmjzJ7SD4gRQpyUbFtghBQ?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.5,245,-,-,-
Trek Bicycle Chicago Wicker Park,https://www.google.com/maps/place/Trek+Bicycle+Chicago+Wicker+Park/data=!4m7!3m6!1s0x880fd2bf4eb20bcf:0x72dd47c2bfb6c730!8m2!3d41.9115963!4d-87.679071!16s%2Fg%2F11f3nkw5pr!19sChIJzwuyTr_SD4gRMMe2v8JH3XI?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.8,394,-,-,-
Bike 4 Life,https://www.google.com/maps/place/Bike+4+Life/data=!4m7!3m6!1s0x880fcd6aac83aa4b:0x1badb54585791f0a!8m2!3d41.9170727!4d-87.7169374!16s%2Fg%2F11h0qb8vf!19sChIJS6qDrGrND4gRCh95hUW1rRs?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.5,248,-,-,-
Specialized Chicago - Fulton Market,https://www.google.com/maps/place/Specialized+Chicago+-+Fulton+Market/data=!4m7!3m6!1s0x880e2df333203dd5:0xf99a15a3c9100209!8m2!3d41.8853456!4d-87.6505979!16s%2Fg%2F11szbhvrzf!19sChIJ1T0gM_MtDogRCQIQyaMVmvk?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.9,136,-,-,-
Big City Bikes,https://www.google.com/maps/place/Big+City+Bikes/data=!4m7!3m6!1s0x880fd2faaae06da5:0x110182b3e45c729e!8m2!3d41.9258846!4d-87.6678279!16s%2Fg%2F11byck9d48!19sChIJpW3gqvrSD4gRnnJc5LOCARE?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.4,105,-,-,-
Divvy,https://www.google.com/maps/place/Divvy/data=!4m7!3m6!1s0x880e2cbbcb658131:0x76578cf3139b92fc!8m2!3d41.8826641!4d-87.63253!16s%2Fg%2F1pt_3h_h0!19sChIJMYFly7ssDogR_JKbE_OMV3Y?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.6,5,-,-,-
Roscoe Village Bikes,https://www.google.com/maps/place/Roscoe+Village+Bikes/data=!4m7!3m6!1s0x880fd2670b02532b:0xc639435a9bd5a0c6!8m2!3d41.9433929!4d-87.6792239!16s%2Fg%2F1tfq9v0y!19sChIJK1MCC2fSD4gRxqDVm1pDOcY?authuser=0&hl=en&rclk=1,Bike rentals in Chicago Illinois,4.7,131,-,-,-
